States,States Code,Year,GDP,Unemployment,Population,Poverty
Utah,UT,2011,138301.1,7.1,"2,812",11.0
Vermont,VT,2011,31663.6,5.6,615,11.6
Virginia,VA,2011,479571.4,6.6,"7,971",11.4
Washington,WA,2011,411575.7,8.5,"6,812",12.5
West Virginia,WV,2011,73175.2,7.8,"1,820",17.5
Wisconsin,WI,2011,293664,7.6,"5,676",13.1
Wyoming,WY,2011,38929.8,6.2,562,10.7
Alabama,AL,2012,203675.5,8.2,"4,808",16.2
Alaska,AK,2012,57087.4,7.2,702,10.0
Arizona,AZ,2012,297077.3,8.3,"6,642",19.0
Arkansas,AR,2012,116616.2,7.3,"2,909",20.1
California,CA,2012,2255437.3,10.5,"37,910",15.9
Colorado,CO,2012,289339.5,8.0,"5,153",11.9
Connecticut,CT,2012,263649.9,8.4,"3,517",10.3
Delaware,DE,2012,70562.4,7.1,900,13.5
District of Columbia,DC,2012,123567.9,9.0,632,18.4
Florida,FL,2012,857861.3,8.6,"19,170",15.3
Georgia,GA,2012,489027.3,9.0,"9,665",18.1
Hawaii,HI,2012,78694,5.9,"1,356",13.8
Idaho,ID,2012,62007.3,7.4,"1,588",14.4
Illinois,IL,2012,790723.3,9.0,"12,730",12.6
Indiana,IN,2012,323876.2,8.2,"6,343",15.2
Iowa,IA,2012,170923.7,5.1,"3,010",10.3
Kansas,KS,2012,150077.1,5.7,"2,828",14.0
Kentucky,KY,2012,192060.1,8.2,"4,342",17.9
Louisiana,LA,2012,242416.8,6.7,"4,465",21.1
Maine,ME,2012,59181.7,7.2,"1,330",12.8
Maryland,MD,2012,361561.8,6.9,"5,892",9.9
Massachusetts,MA,2012,483286.3,6.7,"6,566",11.3
Michigan,MI,2012,463302.6,9.0,"9,731",13.7
Minnesota,MN,2012,321053.9,5.6,"5,353",10.0
Mississippi,MS,2012,108646.5,8.8,"2,893",22.0
Missouri,MO,2012,296514.3,7.2,"5,956",15.2
Montana,MT,2012,44329.1,5.8,999,13.4
Nebraska,NE,2012,109686.3,3.9,"1,849",12.2
Nevada,NV,2012,142986.1,11.6,"2,735",15.8
New Hampshire,NH,2012,74082.8,5.4,"1,308",8.1
New Jersey,NJ,2012,560729.7,9.4,"8,720",9.3
New Mexico,NM,2012,90762.4,7.0,"2,064",20.4
New York,NY,2012,1496280.1,8.6,"19,300",17.2
North Carolina,NC,2012,488126.5,9.5,"9,634",17.2
North Dakota,ND,2012,53326.8,2.9,692,11.4
Ohio,OH,2012,586540.9,7.4,"11,400",15.4
Oklahoma,OK,2012,172016,5.1,"3,700",18.0
Oregon,OR,2012,187352.4,8.8,"3,872",13.5
Pennsylvania,PA,2012,689007,7.7,"12,660",13.9
Rhode Island,RI,2012,56487.4,10.2,"1,034",13.6
South Carolina,SC,2012,195406.1,9.0,"4,667",16.7
South Dakota,SD,2012,48653.9,4.1,822,12.8
Tennessee,TN,2012,311754.2,8.0,"6,422",18.6
Texas,TX,2012,1438354.4,6.7,"26,060",17.0
Utah,UT,2012,140622.5,4.8,"2,849",11.0
Vermont,VT,2012,31898.1,4.8,615,11.2
Virginia,VA,2012,483041.4,5.9,"7,994",10.6
Washington,WA,2012,426447,7.7,"6,856",11.6
